"Sample"	"Cluster"	"CellType"	"fov"	"Sample_celltype_fov"
"g12_moDC(CD45,CD68,CD11b)_21"	"g12"	"moDC(CD45,CD68,CD11b)"	"21"	"g12_moDC(CD45,CD68,CD11b)_21"
"g12_moDC(CD45,CD68,CD11b)_22"	"g12"	"moDC(CD45,CD68,CD11b)"	"22"	"g12_moDC(CD45,CD68,CD11b)_22"
"g13_Stroma_1"	"g13"	"Stroma"	"1"	"g13_Stroma_1"
"g13_Stroma_2"	"g13"	"Stroma"	"2"	"g13_Stroma_2"
"g13_Stroma_3"	"g13"	"Stroma"	"3"	"g13_Stroma_3"
"g13_Stroma_4"	"g13"	"Stroma"	"4"	"g13_Stroma_4"
"g13_Stroma_5"	"g13"	"Stroma"	"5"	"g13_Stroma_5"
"g13_Stroma_6"	"g13"	"Stroma"	"6"	"g13_Stroma_6"
"g13_Stroma_7"	"g13"	"Stroma"	"7"	"g13_Stroma_7"
"g13_Stroma_8"	"g13"	"Stroma"	"8"	"g13_Stroma_8"
"g13_Stroma_9"	"g13"	"Stroma"	"9"	"g13_Stroma_9"
"g13_Stroma_10"	"g13"	"Stroma"	"10"	"g13_Stroma_10"
"g13_Stroma_11"	"g13"	"Stroma"	"11"	"g13_Stroma_11"
"g13_Stroma_12"	"g13"	"Stroma"	"12"	"g13_Stroma_12"
"g13_Stroma_13"	"g13"	"Stroma"	"13"	"g13_Stroma_13"
"g13_Stroma_14"	"g13"	"Stroma"	"14"	"g13_Stroma_14"
"g13_Stroma_15"	"g13"	"Stroma"	"15"	"g13_Stroma_15"
"g13_Stroma_16"	"g13"	"Stroma"	"16"	"g13_Stroma_16"
"g13_Stroma_17"	"g13"	"Stroma"	"17"	"g13_Stroma_17"
"g13_Stroma_18"	"g13"	"Stroma"	"18"	"g13_Stroma_18"
"g13_Stroma_19"	"g13"	"Stroma"	"19"	"g13_Stroma_19"
"g13_Stroma_20"	"g13"	"Stroma"	"20"	"g13_Stroma_20"
"g13_Stroma_21"	"g13"	"Stroma"	"21"	"g13_Stroma_21"
"g13_Stroma_22"	"g13"	"Stroma"	"22"	"g13_Stroma_22"
"g14_Macrophage_1"	"g14"	"Macrophage"	"1"	"g14_Macrophage_1"
"g14_Macrophage_2"	"g14"	"Macrophage"	"2"	"g14_Macrophage_2"
"g14_Macrophage_3"	"g14"	"Macrophage"	"3"	"g14_Macrophage_3"
"g14_Macrophage_4"	"g14"	"Macrophage"	"4"	"g14_Macrophage_4"
"g14_Macrophage_5"	"g14"	"Macrophage"	"5"	"g14_Macrophage_5"
"g14_Macrophage_6"	"g14"	"Macrophage"	"6"	"g14_Macrophage_6"
"g14_Macrophage_7"	"g14"	"Macrophage"	"7"	"g14_Macrophage_7"
"g14_Macrophage_9"	"g14"	"Macrophage"	"9"	"g14_Macrophage_9"
"g14_Macrophage_10"	"g14"	"Macrophage"	"10"	"g14_Macrophage_10"
"g14_Macrophage_11"	"g14"	"Macrophage"	"11"	"g14_Macrophage_11"
"g14_Macrophage_12"	"g14"	"Macrophage"	"12"	"g14_Macrophage_12"
"g14_Macrophage_13"	"g14"	"Macrophage"	"13"	"g14_Macrophage_13"
"g14_Macrophage_14"	"g14"	"Macrophage"	"14"	"g14_Macrophage_14"
"g14_Macrophage_15"	"g14"	"Macrophage"	"15"	"g14_Macrophage_15"
"g14_Macrophage_16"	"g14"	"Macrophage"	"16"	"g14_Macrophage_16"
"g14_Macrophage_17"	"g14"	"Macrophage"	"17"	"g14_Macrophage_17"
"g14_Macrophage_18"	"g14"	"Macrophage"	"18"	"g14_Macrophage_18"
"g14_Macrophage_19"	"g14"	"Macrophage"	"19"	"g14_Macrophage_19"
"g14_Macrophage_20"	"g14"	"Macrophage"	"20"	"g14_Macrophage_20"
"g14_Macrophage_21"	"g14"	"Macrophage"	"21"	"g14_Macrophage_21"
"g14_Macrophage_22"	"g14"	"Macrophage"	"22"	"g14_Macrophage_22"
"g15_Monocytes_1"	"g15"	"Monocytes"	"1"	"g15_Monocytes_1"
"g15_Monocytes_2"	"g15"	"Monocytes"	"2"	"g15_Monocytes_2"
"g15_Monocytes_3"	"g15"	"Monocytes"	"3"	"g15_Monocytes_3"
"g15_Monocytes_4"	"g15"	"Monocytes"	"4"	"g15_Monocytes_4"
"g15_Monocytes_5"	"g15"	"Monocytes"	"5"	"g15_Monocytes_5"
"g15_Monocytes_6"	"g15"	"Monocytes"	"6"	"g15_Monocytes_6"
"g15_Monocytes_7"	"g15"	"Monocytes"	"7"	"g15_Monocytes_7"
"g15_Monocytes_8"	"g15"	"Monocytes"	"8"	"g15_Monocytes_8"
"g15_Monocytes_9"	"g15"	"Monocytes"	"9"	"g15_Monocytes_9"
"g15_Monocytes_10"	"g15"	"Monocytes"	"10"	"g15_Monocytes_10"
"g15_Monocytes_11"	"g15"	"Monocytes"	"11"	"g15_Monocytes_11"
"g15_Monocytes_12"	"g15"	"Monocytes"	"12"	"g15_Monocytes_12"
"g15_Monocytes_13"	"g15"	"Monocytes"	"13"	"g15_Monocytes_13"
"g15_Monocytes_14"	"g15"	"Monocytes"	"14"	"g15_Monocytes_14"
"g15_Monocytes_15"	"g15"	"Monocytes"	"15"	"g15_Monocytes_15"
"g15_Monocytes_16"	"g15"	"Monocytes"	"16"	"g15_Monocytes_16"
"g15_Monocytes_17"	"g15"	"Monocytes"	"17"	"g15_Monocytes_17"
"g15_Monocytes_18"	"g15"	"Monocytes"	"18"	"g15_Monocytes_18"
"g15_Monocytes_19"	"g15"	"Monocytes"	"19"	"g15_Monocytes_19"
"g15_Monocytes_20"	"g15"	"Monocytes"	"20"	"g15_Monocytes_20"
"g15_Monocytes_21"	"g15"	"Monocytes"	"21"	"g15_Monocytes_21"
"g15_Monocytes_22"	"g15"	"Monocytes"	"22"	"g15_Monocytes_22"
"g16_Stroma/B/Tcell_1"	"g16"	"Stroma/B/Tcell"	"1"	"g16_Stroma/B/Tcell_1"
"g16_Stroma/B/Tcell_2"	"g16"	"Stroma/B/Tcell"	"2"	"g16_Stroma/B/Tcell_2"
"g16_Stroma/B/Tcell_3"	"g16"	"Stroma/B/Tcell"	"3"	"g16_Stroma/B/Tcell_3"
"g16_Stroma/B/Tcell_4"	"g16"	"Stroma/B/Tcell"	"4"	"g16_Stroma/B/Tcell_4"
"g16_Stroma/B/Tcell_5"	"g16"	"Stroma/B/Tcell"	"5"	"g16_Stroma/B/Tcell_5"
"g16_Stroma/B/Tcell_6"	"g16"	"Stroma/B/Tcell"	"6"	"g16_Stroma/B/Tcell_6"
"g16_Stroma/B/Tcell_7"	"g16"	"Stroma/B/Tcell"	"7"	"g16_Stroma/B/Tcell_7"
"g16_Stroma/B/Tcell_8"	"g16"	"Stroma/B/Tcell"	"8"	"g16_Stroma/B/Tcell_8"
"g16_Stroma/B/Tcell_9"	"g16"	"Stroma/B/Tcell"	"9"	"g16_Stroma/B/Tcell_9"
"g16_Stroma/B/Tcell_10"	"g16"	"Stroma/B/Tcell"	"10"	"g16_Stroma/B/Tcell_10"
"g16_Stroma/B/Tcell_11"	"g16"	"Stroma/B/Tcell"	"11"	"g16_Stroma/B/Tcell_11"
"g16_Stroma/B/Tcell_12"	"g16"	"Stroma/B/Tcell"	"12"	"g16_Stroma/B/Tcell_12"
"g16_Stroma/B/Tcell_13"	"g16"	"Stroma/B/Tcell"	"13"	"g16_Stroma/B/Tcell_13"
"g16_Stroma/B/Tcell_14"	"g16"	"Stroma/B/Tcell"	"14"	"g16_Stroma/B/Tcell_14"
"g16_Stroma/B/Tcell_15"	"g16"	"Stroma/B/Tcell"	"15"	"g16_Stroma/B/Tcell_15"
"g16_Stroma/B/Tcell_16"	"g16"	"Stroma/B/Tcell"	"16"	"g16_Stroma/B/Tcell_16"
"g16_Stroma/B/Tcell_17"	"g16"	"Stroma/B/Tcell"	"17"	"g16_Stroma/B/Tcell_17"
"g16_Stroma/B/Tcell_18"	"g16"	"Stroma/B/Tcell"	"18"	"g16_Stroma/B/Tcell_18"
"g16_Stroma/B/Tcell_19"	"g16"	"Stroma/B/Tcell"	"19"	"g16_Stroma/B/Tcell_19"
"g16_Stroma/B/Tcell_20"	"g16"	"Stroma/B/Tcell"	"20"	"g16_Stroma/B/Tcell_20"
"g16_Stroma/B/Tcell_21"	"g16"	"Stroma/B/Tcell"	"21"	"g16_Stroma/B/Tcell_21"
"g16_Stroma/B/Tcell_22"	"g16"	"Stroma/B/Tcell"	"22"	"g16_Stroma/B/Tcell_22"
